Sr. #,Name,Age,Gender,Email,Status
1,Saad,20,Male,saad@yahoo.com,Full-time
2,Asad,21,Male,asad@yahoo.com,Part-time
3,Ashar,18,Male,ashar@yahoo.com,Suspended
4,Fahad,20,Male,fahad@yahoo.com,Graduated
5,Husnain,28,Male,husnain@yahoo.com,Full-time
6,John,10,Male,john@yahoo.com,Part-time
7,Stephen,22,Male,stephen@yahoo.com,Suspended
8,Robertina,39,Female,robertina@yahoo.com,Graduated
9,Hannah,10,Female,hannah@yahoo.com,Full-time
10,Mike,27,Other,mike@yahoo.com,Part-time
11,Jill,19,Female,jill@yahoo.com,Suspended
